GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06000","California",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250181567,284416652,319356852,342144678,369925812,410321649,443888531,476484468,511613010,557618023,600193593,643623777,666607620,702023479,719014905,741651785,779604724,828147235,876440299,953360541,1022682748,1127550078,1169366357,1187280934,1240604169,1315172209,1387883820,1493216996,1561307156,1588294546,1539818660,1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2539747399,2770488779,3019215724,3021645501,3182779295,3400237317
 "06000","California",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322523,37651212,37971412,38292557,38637421,38966939,39223789,39424315,39535920,39547995,39521958,39142565,39142414,39198693,39431263
 "06000","California",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11950,13150,13785,14587,15877,16788,17581,18418,19590,20542,21483,21877,22664,22990,23556,24596,25864,26979,28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43137,45508,47793,48074,50617,53816,55862,58214,60984,64219,70100,77134,77196,81196,86232
 "06001","Alameda, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4991979,5413615,5748044,6256221,6646967,7316446,8047585,8852592,9627922,10741959,11896051,13394244,15059491,16069252,17487701,19443806,21028968,22265959,23511230,25571861,27649841,29591400,30573371,32111729,33103404,34139761,36229042,38828277,41127697,44958856,48991374,56279293,57736359,57113565,58133943,59956558,61871945,66581282,69510993,71421770,68773015,72075011,77301332,81435436,85777177,92038123,101231136,108327158,115789437,124671796,134683858,148199107,162177784,163748943,171119975,183486862
 "06001","Alameda, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1060099,1073505,1084483,1099590,1089330,1092233,1090869,1098146,1099851,1103717,1099272,1109931,1125950,1140269,1160694,1179132,1197401,1215506,1229319,1251100,1271443,1306166,1318543,1332208,1339189,1341707,1346548,1359099,1380383,1405903,1427114,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1513413,1532981,1557493,1584943,1614744,1643103,1661218,1671949,1680392,1683879,1680614,1643856,1635693,1638142,1649060
 "06001","Alameda, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4709,5043,5300,5690,6102,6699,7377,8061,8754,9733,10822,12068,13375,14093,15067,16490,17562,18318,19125,20440,21747,22655,23187,24104,24719,25445,26905,28569,29794,31979,34329,38818,39290,39063,39978,41472,42921,46093,47750,48349,45893,47624,50425,52286,54120,56999,61610,65209,69254,74192,79984,88182,98657,100110,104460,111268
 "06003","Alpine, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2003,2261,2634,3373,3715,3930,4408,5731,6072,7891,9338,10319,11631,12400,13694,14094,14687,15130,15797,18870,20676,20186,18124,18241,20979,22447,23962,26015,27392,28647,30410,33411,40382,41648,43149,41160,40939,41632,45112,45347,45989,48691,59552,63498,63059,68364,71467,77273,80393,85025,93899,89328,89807,81025,88360,96872
 "06003","Alpine, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",398,508,584,702,671,730,785,817,890,983,1160,1104,1131,1145,1119,1092,1156,1197,1141,1162,1161,1106,1162,1154,1196,1199,1246,1262,1239,1223,1205,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1164,1105,1132,1160,1122,1128,1110,1183,1157,1198,1179,1203,1169,1126,1099
 "06003","Alpine, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5033,4451,4510,4805,5537,5384,5615,7015,6822,8027,8050,9347,10284,10830,12238,12907,12705,12640,13845,16239,17809,18251,15597,15807,17541,18721,19231,20614,22108,23424,25237,27635,33764,33669,34995,32589,33584,32627,35410,37726,38420,41831,53893,56094,54361,60930,63357,69615,67957,73487,78380,75766,74653,69311,78472,88146
 "06005","Amador, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",47391,52052,57221,63717,73443,83961,95034,108959,125334,146550,170528,190737,207895,222621,247324,281223,308120,335670,374194,418658,454798,491258,537322,567413,595027,609228,644456,680417,678788,727293,770589,851975,944830,998783,1048520,1113534,1134279,1206891,1270521,1296228,1263463,1300768,1309908,1325416,1336888,1399961,1481210,1519574,1602167,1660611,1759900,1920057,2063918,2000871,2116519,2256906
